Profit,Segment,Category
$3.89,Corporate,Office Supplies
$1.79,Consumer,Office Supplies
$1.71,Consumer,Office Supplies
$1.53,Consumer,Office Supplies
$21.23,Consumer,Office Supplies
$10.22,Consumer,Office Supplies
$21.77,Corporate,Office Supplies
$5.22,Corporate,Office Supplies
$20.88,Corporate,Office Supplies
$30.43,Corporate,Office Supplies
$12.17,Corporate,Office Supplies
$3.72,Corporate,Office Supplies
$17.03,Consumer,Office Supplies
$41.51,Consumer,Office Supplies
$76.25,Consumer,Office Supplies
$3.80,Consumer,Office Supplies
$3.55,Consumer,Office Supplies
$3.60,Consumer,Office Supplies
$6.22,Consumer,Office Supplies
$0.08,Consumer,Office Supplies
$5.49,Corporate,Office Supplies
$5.07,Corporate,Office Supplies
$0.06,Corporate,Office Supplies
$14.42,Corporate,Office Supplies
$38.18,Corporate,Office Supplies
$53.50,Home Office,Office Supplies
$5.04,Consumer,Office Supplies
$14.30,Consumer,Office Supplies
$56.98,Consumer,Office Supplies
$9.33,Consumer,Office Supplies
$150.98,Consumer,Office Supplies
$122.15,Corporate,Office Supplies
$39.21,Consumer,Office Supplies
$3.04,Consumer,Office Supplies
$36.40,Corporate,Office Supplies
$9.33,Consumer,Office Supplies
$9.29,Consumer,Office Supplies
$22.20,Home Office,Office Supplies
$9.63,Home Office,Office Supplies
$1.59,Consumer,Office Supplies
$31.52,Consumer,Office Supplies
$14.24,Consumer,Office Supplies
$122.15,Consumer,Office Supplies
$9.33,Corporate,Office Supplies
$26.63,Corporate,Office Supplies
$2.85,Consumer,Office Supplies
$108.18,Consumer,Office Supplies
$143.30,Corporate,Office Supplies
$18.66,Home Office,Office Supplies
$2.42,Consumer,Office Supplies
$18.83,Consumer,Office Supplies
$7.07,Consumer,Office Supplies
$15.48,Consumer,Office Supplies
$15.82,Consumer,Office Supplies
$31.02,Home Office,Office Supplies
$4.88,Home Office,Office Supplies
$16.68,Corporate,Office Supplies
$267.71,Consumer,Office Supplies
$29.15,Consumer,Office Supplies
$1.41,Home Office,Office Supplies
$4.07,Home Office,Office Supplies
$0.12,Consumer,Office Supplies
$6.22,Home Office,Office Supplies
$6.05,Corporate,Office Supplies
$43.71,Corporate,Office Supplies
$16.59,Corporate,Office Supplies
$15.55,Corporate,Office Supplies
$3.36,Home Office,Office Supplies
$3.72,Corporate,Office Supplies
$1.67,Corporate,Office Supplies
$9.93,Consumer,Office Supplies
$11.77,Consumer,Technology
$556.97,Consumer,Technology
$76.27,Corporate,Technology
$47.86,Corporate,Technology
$81.85,Consumer,Furniture
$7.11,Consumer,Furniture
$14.67,Home Office,Furniture
$39.50,Home Office,Technology
$10.25,Corporate,Furniture
$22.67,Home Office,Technology
$13.83,Corporate,Furniture
$22.43,Consumer,Technology
$5.79,Consumer,Furniture
$130.75,Consumer,Technology
$15.63,Corporate,Furniture
$12.91,Corporate,Furniture
$59.04,Corporate,Technology
$76.98,Home Office,Furniture
$1.75,Consumer,Furniture
$41.45,Corporate,Furniture
$17.55,Corporate,Technology
$244.62,Corporate,Technology
$47.99,Home Office,Technology
$23.99,Consumer,Furniture
$4.47,Consumer,Furniture
$2.69,Consumer,Office Supplies
$2.70,Corporate,Office Supplies
$7.02,Corporate,Office Supplies
$14.80,Home Office,Office Supplies
$9.94,Consumer,Office Supplies
$15.55,Consumer,Office Supplies
$73.41,Home Office,Office Supplies
$53.20,Consumer,Furniture
$2.88,Consumer,Office Supplies
$3.11,Consumer,Office Supplies
$16.79,Consumer,Office Supplies
$7.49,Consumer,Office Supplies
$2.97,Consumer,Furniture
$1.76,Consumer,Office Supplies
$41.43,Corporate,Office Supplies
$3.08,Home Office,Furniture
$200.86,Consumer,Technology
$5.86,Consumer,Office Supplies
$52.79,Corporate,Technology
$61.39,Corporate,Office Supplies
$29.67,Home Office,Office Supplies
$28.62,Consumer,Office Supplies
$3.18,Home Office,Office Supplies
$4.50,Home Office,Office Supplies
$100.43,Corporate,Office Supplies
$282.21,Corporate,Office Supplies
$75.70,Home Office,Office Supplies
$3.47,Home Office,Office Supplies
$12.06,Home Office,Furniture
$24.47,Consumer,Office Supplies
$21.78,Consumer,Office Supplies
$9.33,Consumer,Office Supplies
$5.24,Consumer,Office Supplies
$9.13,Consumer,Office Supplies
$101.35,Home Office,Office Supplies
$13.20,Home Office,Technology
$0.20,Home Office,Office Supplies
$5.52,Home Office,Furniture
$3.80,Corporate,Office Supplies
$33.46,Consumer,Office Supplies
$5.70,Consumer,Office Supplies
$12.30,Consumer,Office Supplies
$6.03,Consumer,Furniture
$27.78,Home Office,Office Supplies
$29.33,Consumer,Furniture
$38.93,Consumer,Office Supplies
$16.38,Consumer,Office Supplies
$210.49,Consumer,Office Supplies
$7.61,Consumer,Office Supplies
$47.10,Corporate,Technology
$4.81,Corporate,Office Supplies
$15.22,Consumer,Technology
$5.01,Consumer,Office Supplies
$659.98,Consumer,Technology
$51.47,Consumer,Furniture
$6.55,Corporate,Furniture
$26.08,Consumer,Office Supplies
$10.80,Consumer,Office Supplies
$107.72,Consumer,Office Supplies
$27.56,Consumer,Furniture
$26.03,Corporate,Furniture
$3.88,Corporate,Office Supplies
$11.87,Home Office,Furniture
$11.91,Consumer,Office Supplies
$23.09,Consumer,Office Supplies
$7.20,Consumer,Office Supplies
$6.15,Consumer,Office Supplies
$5.10,Home Office,Technology
$3.80,Consumer,Office Supplies
$29.34,Consumer,Office Supplies
$100.43,Consumer,Office Supplies
$23.92,Consumer,Furniture
$27.99,Consumer,Office Supplies
$10.50,Consumer,Technology
$5.76,Home Office,Office Supplies
$19.80,Consumer,Furniture
$13.31,Consumer,Office Supplies
$10.41,Consumer,Office Supplies
$19.49,Consumer,Office Supplies
$297.69,Consumer,Furniture
$5.70,Consumer,Office Supplies
$5.59,Consumer,Furniture
$3.41,Consumer,Office Supplies
$3.11,Corporate,Office Supplies
$6.87,Corporate,Office Supplies
$6.63,Corporate,Office Supplies
$3.11,Corporate,Office Supplies
$24.94,Consumer,Technology
$16.03,Consumer,Office Supplies
$28.77,Consumer,Furniture
$3.29,Corporate,Office Supplies
$6.87,Corporate,Office Supplies
$15.55,Home Office,Office Supplies
$22.12,Home Office,Office Supplies
$109.72,Home Office,Office Supplies
$11.33,Home Office,Office Supplies
$44.96,Home Office,Office Supplies
$3.01,Consumer,Furniture
$4.58,Consumer,Office Supplies
$2.53,Home Office,Office Supplies
$2.83,Consumer,Office Supplies
$9.33,Consumer,Office Supplies
$1.75,Consumer,Office Supplies
$136.62,Home Office,Office Supplies
$85.90,Consumer,Office Supplies
$217.77,Corporate,Technology
$190.37,Corporate,Technology
$8.50,Consumer,Office Supplies
$24.22,Consumer,Office Supplies
$199.26,Consumer,Furniture
$9.33,Consumer,Office Supplies
$54.58,Consumer,Office Supplies
$204.77,Home Office,Office Supplies
$8.62,Corporate,Technology
$18.11,Corporate,Furniture
$32.50,Consumer,Office Supplies
$38.98,Consumer,Office Supplies
$191.66,Consumer,Furniture
$28.86,Consumer,Office Supplies
$187.40,Consumer,Office Supplies
$3.97,Consumer,Office Supplies
$15.83,Corporate,Furniture
$29.58,Corporate,Office Supplies
$79.89,Consumer,Office Supplies
$27.88,Consumer,Office Supplies
$23.97,Corporate,Office Supplies
$2.64,Corporate,Furniture
$30.43,Corporate,Technology
$12.44,Corporate,Office Supplies
$13.19,Corporate,Office Supplies
$5.18,Home Office,Furniture
$8.50,Corporate,Technology
$5.38,Corporate,Office Supplies
$6.41,Home Office,Office Supplies
$7.95,Home Office,Office Supplies
$43.71,Consumer,Office Supplies
$14.42,Corporate,Office Supplies
$69.71,Consumer,Office Supplies
$6.21,Home Office,Office Supplies
$5.80,Home Office,Office Supplies
$21.60,Consumer,Furniture
$9.33,Consumer,Office Supplies
$2.07,Consumer,Office Supplies
$4.44,Corporate,Office Supplies
$40.12,Corporate,Technology
$25.79,Consumer,Office Supplies
$12.44,Consumer,Office Supplies
$659.98,Corporate,Technology
$16.59,Consumer,Office Supplies
$48.54,Corporate,Office Supplies
$8.99,Consumer,Office Supplies
$10.32,Corporate,Office Supplies
$7.70,Consumer,Office Supplies
$11.59,Corporate,Office Supplies
$8.95,Corporate,Office Supplies
$5.62,Corporate,Office Supplies
$0.00,Corporate,Office Supplies
$10.58,Home Office,Office Supplies
$46.95,Home Office,Office Supplies
$31.24,Consumer,Furniture
$0.95,Consumer,Office Supplies
$5.23,Consumer,Office Supplies
$97.08,Consumer,Office Supplies
$6.15,Consumer,Technology
$68.96,Consumer,Office Supplies
$22.33,Consumer,Furniture
$26.24,Home Office,Furniture
$9.84,Consumer,Office Supplies
$53.26,Consumer,Office Supplies
$1.55,Consumer,Office Supplies
$27.99,Consumer,Office Supplies
$5.43,Home Office,Office Supplies
$4.07,Corporate,Office Supplies
$3.36,Home Office,Office Supplies
$60.26,Consumer,Office Supplies
$10.48,Consumer,Office Supplies
$6.30,Consumer,Technology
$180.77,Consumer,Office Supplies
$6.62,Consumer,Office Supplies
$6.41,Consumer,Office Supplies
$157.02,Consumer,Office Supplies
$9.33,Consumer,Office Supplies
$2.94,Corporate,Office Supplies
$20.85,Corporate,Office Supplies
$8.22,Consumer,Office Supplies
$1.02,Home Office,Office Supplies
$10.37,Corporate,Office Supplies
$3.89,Consumer,Office Supplies
$78.67,Consumer,Office Supplies
$84.05,Consumer,Office Supplies
$7.90,Consumer,Technology
$65.36,Consumer,Office Supplies
$19.47,Corporate,Office Supplies
$45.81,Corporate,Office Supplies
$4.44,Corporate,Office Supplies
$11.86,Home Office,Office Supplies
$2.79,Home Office,Office Supplies
$68.04,Home Office,Office Supplies
$2.72,Home Office,Office Supplies
$30.22,Home Office,Office Supplies
$5.86,Corporate,Office Supplies
$4.97,Corporate,Office Supplies
$2.05,Corporate,Office Supplies
$15.11,Corporate,Office Supplies
$9.47,Home Office,Office Supplies
$27.88,Home Office,Office Supplies
$8.07,Consumer,Office Supplies
$38.02,Consumer,Furniture
$92.97,Consumer,Furniture
$28.80,Home Office,Technology
$3.84,Corporate,Office Supplies
$11.31,Corporate,Office Supplies
$1.90,Consumer,Office Supplies
$22.81,Consumer,Office Supplies
$2.02,Home Office,Office Supplies
$55.76,Home Office,Office Supplies
$8.30,Consumer,Furniture
$0.88,Consumer,Office Supplies
