Sales,City,State,Region,Category,Product Name
261.96,Henderson,Kentucky,South,Furniture,Bush Somerset Collection Bookcase
731.94,Henderson,Kentucky,South,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
14.62,Los Angeles,California,West,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal
957.58,Fort Lauderdale,Florida,South,Furniture,Bretford CR4500 Series Slim Rectangular Table
22.37,Fort Lauderdale,Florida,South,Office Supplies,Eldon Fold 'N Roll Cart System
48.86,Los Angeles,California,West,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
7.28,Los Angeles,California,West,Office Supplies,Newell 322
907.15,Los Angeles,California,West,Technology,Mitel 5320 IP Phone VoIP phone
18.50,Los Angeles,California,West,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill
114.90,Los Angeles,California,West,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge
1706.18,Los Angeles,California,West,Furniture,Chromcraft Rectangular Conference Tables
911.42,Los Angeles,California,West,Technology,Konftel 250 Conferenceÿphoneÿ- Charcoal black
15.55,Concord,North Carolina,South,Office Supplies,Xerox 1967
407.98,Seattle,Washington,West,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine
68.81,Fort Worth,Texas,Central,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
2.54,Fort Worth,Texas,Central,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders
665.88,Madison,Wisconsin,Central,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
55.50,West Jordan,Utah,West,Office Supplies,Fellowes Super Stor/Drawer
8.56,San Francisco,California,West,Office Supplies,Newell 341
213.48,San Francisco,California,West,Technology,Cisco SPA 501G IP Phone
22.72,San Francisco,California,West,Office Supplies,"Wilson Jones Hanging View Binder, White, 1"""
19.46,Fremont,Nebraska,Central,Office Supplies,Newell 318
60.34,Fremont,Nebraska,Central,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length"
71.37,Philadelphia,Pennsylvania,East,Furniture,"Global Deluxe Stacking Chair, Gray"
1044.63,Orem,Utah,West,Furniture,Bretford CR4500 Series Slim Rectangular Table
11.65,Los Angeles,California,West,Office Supplies,Wilson Jones Active Use Binders
90.57,Los Angeles,California,West,Technology,Imationÿ8GB Mini TravelDrive USB 2.0ÿFlash Drive
3083.43,Philadelphia,Pennsylvania,East,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
9.62,Philadelphia,Pennsylvania,East,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems
124.20,Philadelphia,Pennsylvania,East,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
3.26,Philadelphia,Pennsylvania,East,Office Supplies,Poly String Tie Envelopes
86.30,Philadelphia,Pennsylvania,East,Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
6.86,Philadelphia,Pennsylvania,East,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
15.76,Philadelphia,Pennsylvania,East,Office Supplies,Lumber Crayons
29.47,Houston,Texas,Central,Office Supplies,Easy-staple paper
1097.54,Richardson,Texas,Central,Technology,GE 30524EE4
190.92,Richardson,Texas,Central,Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
113.33,Houston,Texas,Central,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
532.40,Houston,Texas,Central,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
212.06,Houston,Texas,Central,Furniture,"Global Fabric Manager's Chair, Dark Gray"
371.17,Houston,Texas,Central,Technology,Plantronics HL10 Handset Lifter
147.17,Naperville,Illinois,Central,Technology,Panasonic Kx-TS550
77.88,Los Angeles,California,West,Office Supplies,"Eldon Base for stackable storage shelf, platinum"
95.62,Melbourne,Florida,South,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
45.98,Eagan,Minnesota,Central,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
17.46,Eagan,Minnesota,Central,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings
211.96,Westland,Michigan,Central,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
45.00,Dover,Delaware,East,Technology,Imationÿ8gb Micro Traveldrive Usb 2.0ÿFlash Drive
21.80,Dover,Delaware,East,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
38.22,New Albany,Indiana,Central,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
75.18,New Albany,Indiana,Central,Office Supplies,Avery 485
6.16,New Albany,Indiana,Central,Furniture,Longer-Life Soft White Bulbs
89.99,New Albany,Indiana,Central,Furniture,"Global Leather Task Chair, Black"
15.26,New York City,New York,East,Office Supplies,Advantus Push Pins
1029.95,New York City,New York,East,Technology,AT&T CL83451 4-Handset Telephone
208.56,Troy,New York,East,Office Supplies,Home/Office Personal File Carts
32.40,Troy,New York,East,Office Supplies,Xerox 232
319.41,Troy,New York,East,Furniture,Novimex Turbo Task Chair
14.56,Troy,New York,East,Office Supplies,"Array Parchment Paper, Assorted Colors"
30.00,Troy,New York,East,Technology,Imationÿ8gb Micro Traveldrive Usb 2.0ÿFlash Drive
48.48,Troy,New York,East,Office Supplies,Plastic Binding Combs
1.68,Troy,New York,East,Office Supplies,Prang Dustless Chalk Sticks
13.98,Los Angeles,California,West,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
25.82,Los Angeles,California,West,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
146.73,Los Angeles,California,West,Office Supplies,Xerox 1943
79.76,Los Angeles,California,West,Furniture,Luxo Economy Swing Arm Lamp
213.12,Chicago,Illinois,Central,Furniture,"Global Value Mid-Back Manager's Chair, Gray"
1113.02,Gilbert,Arizona,West,Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
167.97,Gilbert,Arizona,West,Technology,netTALK DUO VoIP Telephone Service
75.88,Springfield,Virginia,South,Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
4.62,New York City,New York,East,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets
19.05,Jackson,Michigan,Central,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
831.94,Memphis,Tennessee,South,Furniture,High-Back Leather Manager's Chair
97.04,Memphis,Tennessee,South,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
72.78,Memphis,Tennessee,South,Office Supplies,Safco Industrial Wire Shelving System
1.25,Houston,Texas,Central,Office Supplies,Economy Binders
9.71,Houston,Texas,Central,Furniture,"6"" Cubicle Wall Clock, Black"
27.24,Houston,Texas,Central,Office Supplies,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
19.30,Houston,Texas,Central,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
